Latitude	Longitude
42.58964	-113.41725
42.58889	-113.42162
42.58746	-113.42724
42.58661	-113.43300
42.58660	-113.44201
42.58754	-113.45425
42.58853	-113.46090
42.58788	-113.46479
42.58499	-113.47278
42.57723	-113.48646
42.57183	-113.49636
42.56835	-113.50327
42.56478	-113.51266
42.56187	-113.51924
42.55772	-113.52818
42.55232	-113.53792
42.54793	-113.54530
42.54261	-113.55271
42.53866	-113.55823
42.53480	-113.56265
42.53071	-113.56553
42.52364	-113.57018
42.51794	-113.57279
42.51188	-113.57540
42.49979	-113.58140
42.49044	-113.58640
42.48258	-113.59153
42.47278	-113.59793
42.46006	-113.61106
42.44759	-113.62588
42.43604	-113.64099
42.42969	-113.64871
42.42367	-113.65487
42.41688	-113.66430
42.41009	-113.67388
42.40481	-113.68591
42.40070	-113.69945
42.39814	-113.70833
42.39558	-113.71735
42.39050	-113.72565
42.38368	-113.73260
42.37719	-113.73829
42.37070	-113.74367
42.36494	-113.75337
42.35905	-113.76230
42.35383	-113.76890
42.34691	-113.77784
42.34080	-113.78754
42.33569	-113.79367
42.32958	-113.80321
42.32483	-113.81165
42.32203	-113.81958
42.31968	-113.82658
42.31812	-113.83310
42.31920	-113.83896
42.32133	-113.84665
42.32310	-113.85311
42.32509	-113.85818
42.33169	-113.86580
42.33459	-113.86946
42.33668	-113.87283
42.33809	-113.87698
42.33880	-113.88037
42.33884	-113.88563
42.33853	-113.89027
42.33697	-113.89633
42.33566	-113.90485
42.33549	-113.91274
42.33554	-113.91955
42.33662	-113.92587
42.33955	-113.93417
42.34490	-113.94445
42.35018	-113.96061
42.35740	-113.97704
42.36382	-113.99303
42.36721	-114.00304
42.36852	-114.01044
42.37192	-114.02091
42.37644	-114.02781
42.37946	-114.03457
42.38226	-114.04072
42.38459	-114.04734
42.38624	-114.05475
42.38847	-114.06245
42.39163	-114.07278
42.39595	-114.08463
42.39889	-114.09682
42.40044	-114.10655
42.40152	-114.11567
42.40319	-114.12710
42.40382	-114.13746
42.40424	-114.14938
42.40337	-114.15806
42.40332	-114.17183
42.40465	-114.18389
42.40629	-114.19006
42.40724	-114.19640
42.40796	-114.20320
42.40743	-114.21141
42.40679	-114.22086
42.40581	-114.23248
42.40484	-114.24457
42.40408	-114.25433
42.40320	-114.26192
42.40334	-114.26734
42.40555	-114.27490
42.40729	-114.27859
42.40835	-114.28477
42.40871	-114.28988
42.41011	-114.29389
42.41275	-114.29479
42.41562	-114.29631
42.41736	-114.30031
42.42083	-114.30786
42.42247	-114.31559
42.42319	-114.32270
42.42402	-114.33028
42.42371	-114.33740
42.42259	-114.34531
42.42089	-114.35013
42.41953	-114.35339
42.41793	-114.35666
42.41519	-114.35886
42.41336	-114.36058
42.41188	-114.36245
42.41074	-114.36556
42.40996	-114.36959
42.41055	-114.37639
42.41484	-114.38796
42.41786	-114.39862
42.41971	-114.40464
42.42019	-114.40881
42.41986	-114.41284
42.41941	-114.41734
42.41805	-114.42060
42.41657	-114.42356
42.41417	-114.42807
42.40974	-114.44033
42.40725	-114.45057
42.40372	-114.46113
42.40030	-114.46797
42.39608	-114.47605
42.39357	-114.48056
42.39256	-114.48629
42.39258	-114.49387
42.39616	-114.50422
42.40227	-114.51531
42.40918	-114.52703
42.41860	-114.53516
42.42481	-114.53945
42.43182	-114.54777
42.43631	-114.55532
42.44137	-114.56133
42.44390	-114.56766
42.44610	-114.57694
42.44681	-114.58638
42.44682	-114.59289
42.44856	-114.60155
42.45086	-114.60820
42.45374	-114.61159
42.45822	-114.61621
42.46166	-114.61804
42.46626	-114.62359
42.47096	-114.62636
42.47532	-114.62896
42.47934	-114.63095
42.48462	-114.63588
42.48762	-114.64315
42.49039	-114.65553
42.49247	-114.66901
42.49466	-114.68232
42.49686	-114.69533
42.49973	-114.70524
42.50238	-114.71236
42.50422	-114.72057
42.50469	-114.73095
42.50424	-114.74583
42.50424	-114.75467
42.50459	-114.76521
42.50597	-114.77404
42.50747	-114.78225
42.50873	-114.79015
42.50850	-114.79744
42.50690	-114.80333
42.50507	-114.80954
42.50461	-114.80675
42.50369	-114.81172
42.50220	-114.81560
42.50254	-114.82056
42.50404	-114.82784
42.50713	-114.83666
42.51114	-114.84968
42.51240	-114.85603
42.51412	-114.86285
42.51423	-114.86967
42.51389	-114.87308
42.51411	-114.88130
42.51480	-114.88889
42.51766	-114.89834
42.52167	-114.90500
42.52476	-114.90763
42.52809	-114.90964
42.53015	-114.91228
42.53152	-114.91631
42.53404	-114.92158
42.53667	-114.92669
42.54080	-114.93025
42.54504	-114.93273
42.54836	-114.93319
42.55123	-114.93241
42.55307	-114.93241
42.55385	-114.93322
42.55401	-114.93200
42.55570	-114.93050
42.55751	-114.92890
42.55781	-114.92700
42.55810	-114.92500
42.55840	-114.92300
42.56020	-114.92150
42.56051	-114.91950
42.56080	-114.91750
42.56110	-114.91560
42.56280	-114.91400
42.56460	-114.91250
42.56640	-114.91090
42.56810	-114.90940
42.56961	-114.90980
42.56990	-114.90790
42.57160	-114.90630
42.57340	-114.90470
42.57491	-114.90520
42.57630	-114.90560
42.57780	-114.90600
42.57921	-114.90640
42.58070	-114.90680
42.58210	-114.90720
42.58240	-114.90530
42.58420	-114.90370
42.58600	-114.90220
42.58631	-114.90020
42.58510	-114.89780
42.58541	-114.89590
42.58721	-114.89430
42.58750	-114.89230
42.58780	-114.89040
42.58811	-114.88840
42.58840	-114.88640
42.58870	-114.88450
42.58901	-114.88250
42.58930	-114.88050
42.59110	-114.87900
42.59260	-114.87940
42.59431	-114.87790
42.59540	-114.88020
42.59660	-114.88260
42.59630	-114.88460
42.59740	-114.88690
42.59890	-114.88740
42.60031	-114.88780
42.60180	-114.88820
42.60320	-114.88860
42.60440	-114.89100
42.60590	-114.89140
42.60731	-114.89180
42.60901	-114.89030
42.61050	-114.89070
42.61171	-114.89310
42.61310	-114.89350
42.61431	-114.89590
42.61600	-114.89430
42.61710	-114.89670
42.61861	-114.89710
42.62000	-114.89750
42.62111	-114.89990
42.62291	-114.89840
42.62440	-114.89880
42.62610	-114.89720
42.62770	-114.89760
42.62910	-114.89800
42.63081	-114.89650
42.63261	-114.89500
42.63400	-114.89540
42.63580	-114.89380
42.63730	-114.89420
42.63900	-114.89270
42.64041	-114.89310
42.64230	-114.89160
42.64370	-114.89200
42.64510	-114.89240
42.64690	-114.89080
42.64870	-114.88930
42.65040	-114.88770
42.65190	-114.88810
42.65331	-114.88850
42.65470	-114.88890
42.65650	-114.88740
42.65830	-114.88590
42.66000	-114.88430
42.66150	-114.88470
42.66180	-114.88280
42.66350	-114.88120
42.66500	-114.88160
42.66680	-114.88010
42.66821	-114.88050
42.67000	-114.87890
42.67140	-114.87930
42.67320	-114.87780
42.67350	-114.87580
42.67380	-114.87380
42.67560	-114.87230
42.67730	-114.87070
42.67910	-114.86920
42.68080	-114.86760
42.68260	-114.86610
42.68441	-114.86450
42.68580	-114.86490
42.68760	-114.86340
42.68930	-114.86180
42.69110	-114.86030
42.69280	-114.85870
42.69170	-114.85630
42.69340	-114.85480
